Date,Description,Original Description,Amount,Type,Parent Category,Category,Account,Tags,Memo,Pending
4/5/2026,Circle K,Withdrawal #XXXXXXXX6598  / CIRCLE K 03363 LAS VEGAS NV %% Card 25 #6736 TERMINAL: 101,10.79,Debit,Food & Dining,Fast Food,BASIC CHECKING,,CIRCLE K 03363 LAS VEGAS NV %% Card 25 #6736 TERMINAL: 101,FALSE
4/4/2026,Highscorenow.com,Withdrawal Signature base  / highscorenow.com 800-8208210 CA Date 04/03/26 XXXXXXXXXXXXXXXXXXX2380 5968 %% Card 25 #6736,1,Debit,Uncategorized,Uncategorized,BASIC CHECKING,,highscorenow.com 800-8208210 CA Date 04/03/26 24028206093900016082380 5968 %% Card 25 #6736,FALSE
4/4/2026,Highscorenow.com,Withdrawal Signature base  / highscorenow.com 800-8208210 CA Date 04/03/26 XXXXXXXXXXXXXXXXXXX2372 5968 %% Card 25 #6736,1,Debit,Uncategorized,Uncategorized,BASIC CHECKING,,highscorenow.com 800-8208210 CA Date 04/03/26 24028206093900016082372 5968 %% Card 25 #6736,FALSE
4/4/2026,Transfer to Apple Pay,Withdrawal Signature base  / APPLE CASH SENT MONEY 1INFINITELOOP CA Date 04/03/26 24055236094703737827980 4829 %% Card 25 #6736,6,Debit,Transfer,Transfer,BASIC CHECKING,,APPLE CASH SENT MONEY 1INFINITELOOP CA Date 04/03/26 24055236094703737827980 4829 %% Card 25 #6736,FALSE
4/4/2026,Transfer to Apple Pay,Withdrawal Signature base  / APPLE CASH SENT MONEY 1INFINITELOOP CA Date 04/03/26 24055236094703737162438 4829 %% Card 25 #6736,18.45,Debit,Transfer,Transfer,BASIC CHECKING,,APPLE CASH SENT MONEY 1INFINITELOOP CA Date 04/03/26 24055236094703737162438 4829 %% Card 25 #6736,FALSE
4/4/2026,Transfer to Apple Pay,Withdrawal Signature base  / APPLE CASH SENT MONEY 1INFINITELOOP CA Date 04/03/26 24055236094703633631189 4829 %% Card 25 #6736,20,Debit,Transfer,Transfer,BASIC CHECKING,,APPLE CASH SENT MONEY 1INFINITELOOP CA Date 04/03/26 24055236094703633631189 4829 %% Card 25 #6736,FALSE
4/4/2026,Smith's,Withdrawal #000000503384  / SMITHS FOOD #4376 2385 E. WINDMILL LAS VEGAS NV %% Card 25 #6736 TERMINAL: 20437603,1.99,Debit,Food & Dining,Groceries,BASIC CHECKING,,SMITHS FOOD #4376 2385 E. WINDMILL LAS VEGAS NV %% Card 25 #6736 TERMINAL: 20437603,FALSE
4/4/2026,Smith's,Withdrawal #000000500064  / SMITHS FOOD #4376 2385 E. WINDMILL LAS VEGAS NV %% Card 25 #6736 TERMINAL: 20437650,68.39,Debit,Food & Dining,Groceries,BASIC CHECKING,,SMITHS FOOD #4376 2385 E. WINDMILL LAS VEGAS NV %% Card 25 #6736 TERMINAL: 20437650,FALSE
4/3/2026,Signature Base Pinkbox Eastern,Withdrawal Signature base  / PINKBOX EASTERN XXXXXX8330 NV Date 04/03/26 XXXXXXXXXXXXXXXXXXX3786 5462 %% Card 25 #6736,9.45,Debit,Uncategorized,Uncategorized,BASIC CHECKING,,PINKBOX EASTERN 7029478330 NV Date 04/03/26 24801976093703080143786 5462 %% Card 25 #6736,FALSE
4/3/2026,Deposit Mark Faranda P Data Onlne Transfer Co Amficu Webxfr Name,Deposit MARK FARANDA  / TYPE: P2P  ID: 1770527921 DATA: ONLNE TRNSFR88850063 CO: AMFICU CK WEBXFR  NAME: MARK FARANDA %% ACH ECC WEB %% ACH Trace 063106141420197,65,Credit,Transfer,Transfer,BASIC CHECKING,,TYPE: P2P  ID: 1770527921 DATA: ONLNE TRNSFR88850063 CO: AMFICU CK WEBXFR  NAME: MARK FARANDA %% ACH ECC WEB %% ACH Trace 063106141420197,FALSE
4/3/2026,PayPal,Withdrawal PAYPAL  / TYPE: INST XFER  ID: PAYPALSI77 DATA: INSTANT TRANSFER  CO: PAYPAL NAME: MARK FARANDA %% ACH ECC WEB %% ACH Trace 091000016693517,5.73,Debit,Uncategorized,Uncategorized,BASIC CHECKING,,TYPE: INST XFER  ID: PAYPALSI77 DATA: INSTANT TRANSFER  CO: PAYPAL NAME: MARK FARANDA %% ACH ECC WEB %% ACH Trace 091000016693517,FALSE
4/3/2026,Smith's,Withdrawal #000000505969  / SMITHS FOOD #4376 2385 E. WINDMILL LAS VEGAS NV %% Card 25 #6736 TERMINAL: 20437605,4.99,Debit,Food & Dining,Groceries,BASIC CHECKING,,SMITHS FOOD #4376 2385 E. WINDMILL LAS VEGAS NV %% Card 25 #6736 TERMINAL: 20437605,FALSE
4/2/2026,Sonic,Withdrawal Signature base  / SONIC DRIVE IN #3431 505-524-8998 NV Date 04/01/26 XXXXXXXXXXXXXXXXXXX6377 5814 %% Card 25 #6736,4,Debit,Food & Dining,Fast Food,BASIC CHECKING,,SONIC DRIVE IN #3431 505-524-8998 NV Date 04/01/26 24055246092701556216377 5814 %% Card 25 #6736,FALSE
4/2/2026,Amazon Digital Services,Withdrawal Signature base  / AMAZON DIGI* BG8WC6SE1 WWW.AMAZON.CO WA Date 04/02/26 24011346092100122904668 5815 %% Card 25 #6736,13.99,Debit,Shopping,Electronics & Software,BASIC CHECKING,,AMAZON DIGI* BG8WC6SE1 WWW.AMAZON.CO WA Date 04/02/26 24011346092100122904668 5815 %% Card 25 #6736,FALSE
4/2/2026,Signature Base Balanced Beauty Solu,Withdrawal Signature base  / BALANCED BEAUTY SOLU HENDERSON NV Date 04/01/26 24692166092101937745195 8011 %% Card 25 #6736,400,Debit,Personal Care,Personal Care,BASIC CHECKING,,BALANCED BEAUTY SOLU HENDERSON NV Date 04/01/26 24692166092101937745195 8011 %% Card 25 #6736,FALSE
4/2/2026,Old Navy,Withdrawal Signature base  / OLDNAVY.COM 800-427-7895 CA Date 04/02/26 24692166092101693948793 5651 %% Card 25 #6736,14.73,Debit,Shopping,Clothing,BASIC CHECKING,,OLDNAVY.COM 800-427-7895 CA Date 04/02/26 24692166092101693948793 5651 %% Card 25 #6736,FALSE
4/2/2026,Smith's Fuel Center,Withdrawal #000000123462  / SMITHS FUEL #9350 4600 E. SUNSET RD. HENDERSON NV %% Card 25 #6736 TERMINAL: 20935023,47.15,Debit,Auto & Transport,Gas,BASIC CHECKING,,SMITHS FUEL #9350 4600 E. SUNSET RD. HENDERSON NV %% Card 25 #6736 TERMINAL: 20935023,FALSE
4/1/2026,Transfer To Share,Withdrawal Home Banking  / Transfer To Share 80  Internet Access 04/01/2026 06:45 366068,400,Debit,Transfer,Transfer,FARANDA,,Transfer To Share 80  Internet Access 04/01/2026 06:45 366068,FALSE
4/1/2026,Transfer from Account 01,Deposit Home Banking Transfer  / From Share 01  Internet Access 04/01/2026 06:45 366068,400,Credit,Transfer,Transfer,BASIC CHECKING,,From Share 01  Internet Access 04/01/2026 06:45 366068,FALSE
4/1/2026,Transfer to Apple Pay,Withdrawal Signature base  / APPLE CASH SENT MONEY 1INFINITELOOP CA Date 03/31/26 24055236091700072680837 4829 %% Card 25 #6736,50,Debit,Transfer,Transfer,BASIC CHECKING,,APPLE CASH SENT MONEY 1INFINITELOOP CA Date 03/31/26 24055236091700072680837 4829 %% Card 25 #6736,FALSE
4/1/2026,Signature Base Icp California Allstars,Withdrawal Signature base  / ICP*California Allstars 702-9988102 NV Date 04/01/26 24906416091254262101054 8299 %% Card 25 #6736,140,Debit,Education,Education,BASIC CHECKING,,ICP*California Allstars 702-9988102 NV Date 04/01/26 24906416091254262101054 8299 %% Card 25 #6736,FALSE
4/1/2026,Amazon,Withdrawal Adjustment Credit  / Voucher  AMAZON MARK* B58DF0QP1 SEATTLE WA Date 04/01/26 24011346091100155253729 5999 %% Card 25 #6736,42.78,Credit,Shopping,Shopping,BASIC CHECKING,,Voucher  AMAZON MARK* B58DF0QP1 SEATTLE WA Date 04/01/26 24011346091100155253729 5999 %% Card 25 #6736,FALSE
4/1/2026,Amazon,Withdrawal Adjustment Credit  / Voucher  AMAZON MARK* BG6SS8O10 SEATTLE WA Date 04/01/26 24011346091100154637377 5999 %% Card 25 #6736,57.43,Credit,Shopping,Shopping,BASIC CHECKING,,Voucher  AMAZON MARK* BG6SS8O10 SEATTLE WA Date 04/01/26 24011346091100154637377 5999 %% Card 25 #6736,FALSE
4/1/2026,Amazon,Withdrawal Adjustment Credit  / Voucher  AMAZON MARK* BG6SS8O10 SEATTLE WA Date 03/31/26 24011346091100151477900 5999 %% Card 25 #6736,16.25,Credit,Shopping,Shopping,BASIC CHECKING,,Voucher  AMAZON MARK* BG6SS8O10 SEATTLE WA Date 03/31/26 24011346091100151477900 5999 %% Card 25 #6736,FALSE
4/1/2026,Walgreens,Withdrawal #609121079083  / WALGREENS STORE 1701 N HENDERSON NV %% Card 25 #6736 TERMINAL: 99999999,7.78,Debit,Health & Fitness,Pharmacy,BASIC CHECKING,,WALGREENS STORE 1701 N HENDERSON NV %% Card 25 #6736 TERMINAL: 99999999,FALSE
